"产品/公司","赛道","证据等级","能力层级","背景覆盖状态","直接people信号","直接company信号","直接financial信号","已覆盖直接维度","仍缺直接维度","产品级信号数","市场people信号","市场financial信号","直接关联主体","市场背景信号","下一步校验"
"HelloTalk","语言交换与跨文化真人社交","B","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","HelloTalk","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Tandem","语言交换与跨文化真人社交","B","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","Tandem","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Hilokal","语言交换与跨文化真人社交","C","补证观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","Hilokal","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"SewaYou","语言交换与跨文化真人社交","B","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","SewaYou","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Conversation Exchange","语言交换与跨文化真人社交","B","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","Conversation Exchange","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Talk4Now","语言交换与跨文化真人社交","C","补证观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","Talk4Now","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Linguado","语言交换与跨文化真人社交","C","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","Linguado","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"meeTalk","语言交换与跨文化真人社交","C","长尾留档","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","meeTalk","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"LangPal","语言交换与跨文化真人社交","C","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","LangPal","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"MatchaLingua","语言交换与跨文化真人社交","D","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","MatchaLingua","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Slowly","语言交换与跨文化真人社交","C","补证观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","Slowly","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"FluentPal","语言交换与跨文化真人社交","C","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","FluentPal","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"RoamChat","语言交换与跨文化真人社交","B","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","RoamChat","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Lingbe","语言交换与跨文化真人社交","C","补证观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","Lingbe","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"SpeakyParrot","语言交换与跨文化真人社交","C","补证观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","SpeakyParrot","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Fluently","语言交换与跨文化真人社交","C","补证观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","3","3","Fluently","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Brian Kelley / Butter AI | Talkie / MiniMax","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Status AI","AI 社交与互动娱乐","B","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","8","Status AI","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Brian Kelley / Butter AI | Giorgos Andritsos / Mr. Pengu","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Butterflies AI","AI 社交与互动娱乐","B","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","8","Butterflies AI","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Brian Kelley / Butter AI | Giorgos Andritsos / Mr. Pengu","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Daze","AI 社交与互动娱乐","B","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","8","Daze","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Brian Kelley / Butter AI | Giorgos Andritsos / Mr. Pengu","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Shapes","AI 社交与互动娱乐","C","补证观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","8","Shapes","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Brian Kelley / Butter AI | Giorgos Andritsos / Mr. Pengu","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Character.AI / Replika / Chai","AI 伴侣、角色经济与共同养成","C","补证观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","8","Character.AI / Replika / Chai","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Brian Kelley / Butter AI | Giorgos Andritsos / Mr. Pengu","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Tolan / Portola","AI 伴侣、角色经济与共同养成","C","补证观察","产品级财务/规模覆盖","0","0","1","financial report","company | people","1","4","8","Tolan / Portola","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Brian Kelley / Butter AI | Giorgos Andritsos / Mr. Pengu","已有产品级 financial/scale 背景；继续补官网公司主体和 founder/team 证据。"
"Born / Pengu","AI 伴侣、角色经济与共同养成","A","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","8","Born / Pengu","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Brian Kelley / Butter AI | Giorgos Andritsos / Mr. Pengu","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Dippy AI","AI 伴侣、角色经济与共同养成","C","补证观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","8","Dippy AI","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Brian Kelley / Butter AI | Giorgos Andritsos / Mr. Pengu","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Kindroid / Nomi / Blush","AI 伴侣、角色经济与共同养成","D","长尾留档","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","8","Kindroid / Nomi / Blush","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Brian Kelley / Butter AI | Giorgos Andritsos / Mr. Pengu","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Talkie / MiniMax","AI 伴侣、角色经济与共同养成","A","重点观察","产品级财务/规模覆盖","0","0","1","financial report","company | people","1","4","8","Talkie / MiniMax","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Brian Kelley / Butter AI | Giorgos Andritsos / Mr. Pengu","已有产品级 financial/scale 背景；继续补官网公司主体和 founder/team 证据。"
"PolyBuzz / HiWaifu / Linky","AI 伴侣、角色经济与共同养成","A","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","8","PolyBuzz / HiWaifu / Linky","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Brian Kelley / Butter AI | Giorgos Andritsos / Mr. Pengu","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Caveduck / Charms / Pictoria / CODE27","AI 伴侣、角色经济与共同养成","C","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","8","Caveduck / Charms / Pictoria / CODE27","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Brian Kelley / Butter AI | Giorgos Andritsos / Mr. Pengu","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"222","AI/算法驱动的线下真人社交","A","优先展示","产品级团队覆盖","1","0","0","people","company | financial report","1","4","6","Arman Roshannai / 222","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Yulia D. / Timeleft","已有产品级 people 背景；继续补公司主体、融资、下载或收入证据。"
"Pie","AI/算法驱动的线下真人社交","A","优先展示","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","6","Pie","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Yulia D. / Timeleft","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Timeleft","AI/算法驱动的线下真人社交","A","优先展示","产品级团队覆盖","3","0","0","people","company | financial report","3","4","6","Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Yulia D. / Timeleft","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Yulia D. / Timeleft","已有产品级 people 背景；继续补公司主体、融资、下载或收入证据。"
"Partiful","AI/算法驱动的线下真人社交","A","优先展示","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","6","Partiful","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Yulia D. / Timeleft","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Plots / Saturday / Posh","AI/算法驱动的线下真人社交","D","补证观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","6","Plots / Saturday / Posh","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Yulia D. / Timeleft","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Meet5","AI/算法驱动的线下真人社交","A","优先展示","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","6","Meet5","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Yulia D. / Timeleft","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Breeze","AI/算法驱动的线下真人社交","A","优先展示","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","6","Breeze","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Yulia D. / Timeleft","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"WeRoad","AI/算法驱动的线下真人社交","A","优先展示","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","6","WeRoad","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Yulia D. / Timeleft","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Aglow Life","AI/算法驱动的线下真人社交","C","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","6","Aglow Life","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Yulia D. / Timeleft","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Paxmeet","AI/算法驱动的线下真人社交","C","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","6","Paxmeet","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Yulia D. / Timeleft","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"MeetMux","AI/算法驱动的线下真人社交","C","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","6","MeetMux","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Yulia D. / Timeleft","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Weekend","AI/算法驱动的线下真人社交","D","重点观察","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","6","Weekend","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Yulia D. / Timeleft","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"Thursday","AI/算法驱动的线下真人社交","A","优先展示","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","6","Thursday","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Yulia D. / Timeleft","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
"WeMeet by WeRoad","AI/算法驱动的线下真人社交","A","优先展示","产品级公司已覆盖","0","1","0","company","people | financial report","1","4","6","WeMeet by WeRoad","Arman Roshannai / 222 | Maxime Barbier / Timeleft | Euan Cassie / Timeleft | Yulia D. / Timeleft","已有产品级 company 背景；继续补 founder/team people 证据和 revenue/download/funding 口径。"
