"名称","赛道/边界","补证结论","优先级","Exa结果数","来源查询ID","种子URL","原因","requestIds","证据"
"LingoPraxis","language exchange long tail","长尾留档","medium","12","lingopraxis_growth","https://linkedin.com/company/lingopraxis","有官网、商店和真人语言练习定位，但 targeted Exa 补证仍未找到融资、强增长、社媒声量或开放消费社交规模信号；作为长尾覆盖保留，不升级主表。","37a6fa1155df3694cca7e15d30c92953 | 1e30dde21a63ddaed0c2d7a91a65c7a1","LingoPraxis - English Speaking Club: https://lingopraxis.com/ | INT'L CAFE: https://intlcafe.io/ | LingoPraxis: Practice speaking English online: https://lingopraxis.com/ | LingoPraxis: Language Exchange 4+: https://apps.apple.com/ua/app/lingopraxis-language-exchange/id6446861184"
"Conversifi","language exchange / university","边界参照","medium","12","new_language_exchange_companies","https://conversifi.com/","定位清楚，偏大学语言与文化交换；更像垂直/B2B 场景，缺少开放消费社交增长信号，作为 HelloTalk/Tandem 边界参照保留。","c58c450fd984a0bb07335836669d8570 | 8c18e4614ea4f9aa3ee543f8c362b166","Conversifi: https://conversifi.com/ | INT'L CAFE: https://intlcafe.io/ | Language and Cultural Exchange for College Students | Conversifi: https://conversifi.com/ | Conversifi: https://www.linkedin.com/company/conversifi"
"Plannit","planning / travel adjacent","排除主表","low","12","offline_social_discovery_companies","https://plannit.in/","结果更偏计划工具、AI business plan 或 travel creator booking，不是 HelloTalk/Tandem 或 AI 社交核心竞品。","e42678c915ae9e47d57dee4957eb8d2e | 28463d440a3e95e0caf0fdd1da9d1e34","Plannit: https://plannit.in/ | SewaYou: https://sewayou.com/ | Former Priceline execs debut Plannin, a booking platform that uses travel influencers to help plan trips | TechCrunch: https://techcrunch.com/2024/05/30/plannin-travel-booking-platform-for-creators/ | Plannin.com: Enabling Lifetime Earnings For Travel Creators Through Audience Bookings: https://www.netinfluencer.com/plannin-com-enabling-lifetime-earnings-for-travel-creators-through-audience-bookings/"
"Meetup.com","unclassified candidate","候选补证","medium","12","local_activity_social_companies","https://meetup.com/","出现具体产品/公司名，但当前补证结果不足以升级主表。","7170aeff4214cfb47f52fe98a6b6d737 | 5fa1b314061cc4cdd7e2c31c7b0e4155","Meetup.com: https://meetup.com/ | MeetMux: https://meetmux.com/ | Meetup's new mobile app is designed to make it easier to meet people IRL: https://www.engadget.com/mobile/meetups-new-mobile-app-is-designed-to-make-it-easier-to-meet-people-irl-150000920.html | The grandaddy of IRL apps attempts a comeback: https://www.morningbrew.com/stories/2026/03/19/the-grandaddy-of-irl-apps-attempts-a-comeback"
"Around Me","local search adjacent","排除主表","low","12","offline_social_company_boundary","https://aroundme.co/","补证结果更像本地搜索工具 AroundMe，而不是社交或 AI 社交产品。","f07649a9af106260954ebf94879df37b | e104d6b96dbda098656079d339c74a62","Around Me: https://aroundme.co/ | SewaYou: https://sewayou.com/ | First Round’s on Me Raises $3M for its Social Daing App that Centers In Person Connection – LA TechWatch: https://www.latechwatch.com/2024/08/first-rounds-on-me-from-social-dating-plan-real-life-in-person-date-app-joe-feminella/ | Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch: https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/"
"LingoPraxis: Practice speaking English online","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://lingopraxis.com/","出现具体产品/公司名，但当前补证结果不足以升级主表。","71eb2dcf8dcbb68073ca651fc8b68a6d | a7cb96fcc2cbba6355323e609bf05c18","LingoPraxis: Practice speaking English online: https://lingopraxis.com/ | LingoPraxis - English Speaking Club: https://linkedin.com/company/lingopraxis | LingoPraxis: Practice speaking English online: https://lingopraxis.com/ | LingoPraxis - English Speaking Club: https://by.linkedin.com/company/lingopraxis"
"Time2Talk","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://time2talk.app/","出现具体产品/公司名，但当前补证结果不足以升级主表。","9a516d6ead01144eeb29bbb8cbc6fb1b | bdf5a1541a52b4f01f097b713487ae63","Time2Talk: https://time2talk.app/ | SewaYou: https://sewayou.com/ | Time2talk (Educational Software) 2026 Company Profile: Valuation, Funding & Investors | PitchBook: https://pitchbook.com/profiles/company/498175-57 | Can we talk? Latina-led startup Time2Talk helps bridge the cultural gap through conversation: https://www.freshwatercleveland.com/breaking-ground/Time2Talk101320.aspx"
"Languages Live Gesellschaft Lokalisierung mbH","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://mylanguageexchange.com/","出现具体产品/公司名，但当前补证结果不足以升级主表。","e18b60594533dcd935342b237548a20a | 09a364951b7cf9da35f0ea4e7d6a64a7","Languages Live Gesellschaft Lokalisierung mbH: https://mylanguageexchange.com/ | INT'L CAFE: https://intlcafe.io/ | Ownmates : Break down language barrier social network | The AI Journal: https://aijourn.com/ownmates-break-down-language-barrier-social-network/ | BeeSpeaker raises €2M to help language learners become confident speakers - Tech.eu: https://tech.eu/2025/09/25/beespeaker-raises-eur2m-to-help-language-learners-become-confident-speakers/"
"Beelinguapp","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://beelinguapp.com/","出现具体产品/公司名，但当前补证结果不足以升级主表。","e3206dd3c452b6a831b8da2da01c6cab | 677e343241738251428e3cc92a9b2e52","Beelinguapp: https://beelinguapp.com/ | INT'L CAFE: https://intlcafe.io/ | Beelinguapp | Learn languages with music & audiobooks: https://beelinguapp.com/ | After 3.5 million downloads, Berlin language learning app maker Beelinguapp raises $1.1 million - Tech.eu: https://tech.eu/2020/12/15/after-3-5-million-downloads-berlin-language-learning-app-maker-beelinguapp-raises-1-1-million/"
"LingoLooper","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://lingolooper.com/","出现具体产品/公司名，但当前补证结果不足以升级主表。","ebbb7de610921256c625b47ac56ca227 | 3a64aad06f90b59efc3be7531bcc0710","LingoLooper: https://lingolooper.com/ | INT'L CAFE: https://intlcafe.io/ | 200,000 users in one year – LingoLooper enters its next phase with new investors -: https://scienceparkskovde.se/en/articles/200000-users-in-one-year-lingolooper-enters-its-next-phase-with-new-investors/ | LingoLooper - AI Language Game on iOS and Android: https://www.lingolooper.com/"
